Genre,Article:,Para,Text,Important words,3 word chosen,Output,Intersection,Similarity
,,,,,"daily', 'new', 'activity'",,,
,,,,,"validity', 'consciousness', 'trackers'",,,
,,,,,"study', 'new', 'steps'",,,
,,,,,"study', 'steps', 'marketing'",,,
,,,,,"people', 'miles', 'people'",,,
,,,,,"sweet', 'steps', 'workout'",,,
,,,,,,,,
Medical,"The Year in Fitness: Shorter Workouts, Greater 
Clarity, Longer Lives",1,"You may have long thought your blood pressure was 
within normal limits. But in 2017, based on better long-
term data, experts lowered the numbers that constitute a 
healthy blood pressure, resulting in a greater proportion of 
the population with this risky condition. The former upper
 limit of “normal” blood pressure, once believed to be 140 
over 90 millimeters of mercury, was recognized as too 
high to prevent serious health problems over time. The 
current upper limit of normal is 130 over 80, and a blood 
pressure consistently above 120 over 80 is now 
considered problematic.","blood', 'pressure', 'normal', 'limits', 'better', 
'long-', 'term', 'data', 'experts', 'numbers', 
'healthy', 'blood', 'pressure', 'greater', 
'proportion', 'population', 'risky', 'condition', 
'upper', 'limit', 'normal', 'blood', 'pressure', 
'millimeters', 'mercury', 'high', 'health', 
'problems', 'time', 'current', 'upper', 'limit', 
'normal', 'blood', 'pressure', 'problematic'","normal', 'blood', 'numbers'",,,
,,,,,"pressure', 'blood', 'pressure'",,,
,,,,,"pressure', 'healthy', 'pressure'",,,
,,,,,"time', 'condition', 'current'",,,
,,,,,"data', 'proportion', 'experts'",,,
,,,,,"data', 'blood', 'problematic'",,,
,,,,,"experts', 'risky', 'limits'",,,
,,,,,"current', 'health', 'limit'",,,
,,,,,"upper', 'condition', 'blood'",,,
,,,,,"pressure', 'blood', 'upper'",,,
,,,,,,,,
,,2,"The study involved 27,599 adults, 35.4 percent of whom 
had uncontrolled hypertension, who were part of the 
National Health and Nutrition Examination Surveys. The 
periodic surveys, which are known as NHANES and track 
the health of a representative sample of Americans, found 
that many people took medications and other substances 
that could raise an otherwise normal blood pressure or 
limit the effectiveness of treatment prescribed to lower an 
elevated blood pressure.","study', 'adults', 'percent', 'uncontrolled',
 'hypertension', 'national', 'health', 
'nutrition', 'examination', 'surveys', 
'periodic', 'surveys', 'nhanes', 'track', 
'health', 'representative', 'sample', 
'americans', 'people', 'medications', 
'substances', 'normal', 'blood', 'pressure', 
'effectiveness', 'treatment', 'elevated',
 'blood', 'pressure'","nutrition', 'surveys', 'examination'",,,
,,,,,"medications', 'examination', 'uncontrolled'",,,
,,,,,"uncontrolled', 'treatment', 'track'",,,
,,,,,"normal', 'track', 'surveys'",,,
,,,,,"substances', 'elevated', 'surveys'",,,
,,,,,"surveys', 'representative', 'effectiveness'",,,
,,,,,"pressure', 'treatment', 'percent'",,,
,,,,,"blood', 'treatment', 'representative'",,,
,,,,,"percent', 'blood', 'health'",,,
,,,,,"periodic', 'medications', 'blood'",,,
,,3,"There’s a long list of prescribed medications, as well as 
over-the-counter drugs and recreational substances and 
supplements, that can interfere with effective treatment for 
hypertension. In addition to estrogen-containing drugs and
 NSAIDS, the list includes widely used medicines like 
antidepressants and oral steroids such as cortisone; 
substances like nicotine, alcohol and cocaine; herbal 
supplements like licorice or ginseng; and, of course, salt.
 Caffeine, too, can raise blood pressure over the short-
term in some people.","long', 'list', 'prescribed', 'medications', 
'counter', 'drugs', 'recreational', 
'substances', 'supplements', 'effective', 
'treatment', 'hypertension', 'addition', 
'estrogen', 'drugs', 'nsaids', 'list', 
'medicines', 'antidepressants', 'oral', 
'steroids', 'cortisone', 'substances', 
'nicotine', 'alcohol', 'cocaine', 'herbal', 
'supplements', 'licorice', 'ginseng',
'course', 'salt', 'caffeine', 'blood', 'pressure',
 'short-', 'term', 'people'","substances', 'short', 'drugs'",,,
,,,,,"recreational', 'herbal', 'pressure'",,,
,,,,,"treatment', 'course', 'salt'",,,
,,,,,"supplements', 'licorice', 'term'",,,
,,,,,"estrogen', 'list', 'medicines'",,,
,,,,,"substances', 'ginseng', 'supplements'",,,
,,,,,"caffeine', 'prescribed', 'oral'",,,
,,,,,"alcohol', 'licorice', 'herbal'",,,
,,,,,"list', 'steroids', 'supplements'",,,
,,,,,"oral', 'treatment', 'list'",,,
,,,,,,,,
Personality,Michael Phelps: 'I Can't See Any More Suicides,1,"In recent weeks, as they have braced for the release of the
film and the criticism it levels at a system that long 
prioritized winning over everything else, Olympic officials 
past and present have noted all the perks Phelps received 
during his career, including top training and coaching, 
access to cutting-edge technology and a two-bedroom 
suite at the Olympic Training Center in Colorado Springs 
that only he and the occasional visiting physician used if 
he wasn’t there. Everyone else slept in single or double 
rooms.","recent', 'weeks', 'release', 'film', 'criticism',
 'system', 'olympic', 'officials', 'past', 
'present', 'perks', 'phelps', 'career', 
'training', 'coaching', 'access', 'edge', 
'technology', 'bedroom', 'suite', 'olympic', 
'training', 'center', 'colorado', 'springs', 
'occasional', 'physician', 'single', 'double', 
'rooms'","single', 'double', 'career'",,,
,,,,,"colorado', 'springs', 'technology'",,,
,,,,,"weeks', 'training', 'access'",,,
,,,,,"single', 'past', 'bedroom'",,,
,,,,,"weeks', 'technology', 'officials'",,,
,,,,,"training', 'perks', 'officials'",,,
,,,,,"center', 'double', 'present'",,,
,,,,,"edge', 'weeks', 'career'",,,
,,,,,"past', 'physician', 'training'",,,
,,,,,"suite', 'olympic', 'center'",,,
,,,,,,,,
,,2,"But that uneven treatment and response to the film,Phelps
 said in an interview this week, illustrates how Olympic 
officials and coaches view athletes as valuable assets 
during their brief windows of Olympic glory, but then 
leave them largely on their own during the years between 
Games. And when their careers are interrupted or over, 
the system moves on to the next star.“I feel like they don’t 
care about anything I do right now,” Phelps, 35, said of 
the United States Olympic and Paralympic Committee. ","uneven', 'treatment', 'response', 'film', 
'phelps', 'interview', 'week', 'olympic', 
'officials', 'coaches', 'athletes', 'valuable', 
'assets', 'brief', 'windows', 'olympic', 'glory',
'years', 'games', 'careers', 'system', 'star', 
'phelps', 'united', 'states', 'olympic', 
'paralympic', 'committee'","careers', 'treatment', 'olympic'",,,
,,,,,"games', 'week', 'valuable'",,,
,,,,,"careers', 'coaches', 'united'",,,
,,,,,"star', 'interview', 'response'",,,
,,,,,"olympic', 'brief', 'years'",,,
,,,,,"response', 'system', 'windows'",,,
,,,,,"officials', 'system', 'treatment'",,,
,,,,,"valuable', 'star', 'film'",,,
,,,,,"united', 'coaches', 'valuable'",,,
,,,,,"united', 'interview', 'olympic'",,,
,,,,,,,,
,,3,"In recent months, the committee,which says it has always 
welcomed and wanted Phelps’s input, has formed a 
mental health task force to help change and expand a 
system that its chief executive, Sarah Hirshland, has 
made clear needs to be updated. The organization takes
 roughly 1,000 athletes combined to the Winter and 
Summer Olympics during each four-year cycle but has 
just three mental health officers on its staff. ","recent', 'months', 'committee', 'phelps', 
'input', 'mental', 'health', 'task', 'force', 
'system', 'chief', 'executive', 'sarah', 
'hirshland', 'clear', 'needs', 'organization', 
'athletes', 'winter', 'summer', 'olympics', 
'year', 'cycle', 'mental', 'health', 'officers', 
'staff'","health', 'officers', 'system'",,,
,,,,,"recent', 'cycle', 'sarah'",,,
,,,,,"staff', 'committee', 'health'",,,
,,,,,"system', 'year', 'recent'",,,
,,,,,"hirshland', 'needs', 'mental'",,,
,,,,,"sarah', 'staff', 'athletes'",,,
,,,,,"olympics', 'athletes', 'system'",,,
,,,,,"athletes', 'year', 'clear'",,,
,,,,,"cycle', 'clear', 'health'",,,
,,,,,"recent', 'health', 'sarah'",,,
,,,,,,,,
Human Rights,‘We’ve Never Been Smuggled Before’,1,"In a room with grimy walls and a few soiled blankets, I met
 Jawad and Shukria, a newlywed couple who had recently 
arrived from Kabul. Slender and reserved, they were 
wearing matching maroon sweaters, Shukria’s under a 
beige head scarf. (For their safety I am using only their 
first names.) Jawad had studied biochemistry, and had 
saved up enough by working in a hospital to open his own 
small medical lab. That was where he met Shukria, who 
hadn’t finished her university studies. Theirs was a love 
marriage, uncommon in Afghanistan; they had wed against 
his parents’ wishes. “I didn’t take any money from them,” 
Jawad told me with a touch of pride, as Shukria smiled.","room', 'grimy', 'walls', 'soiled', 'blankets', 
'jawad', 'shukria', 'newlywed', 'couple', 
'kabul', 'slender', 'reserved', 'maroon', 
'sweaters', 'shukria', 'beige', 'head', 'scarf', 
'safety', 'names', 'jawad', 'biochemistry', 
'hospital', 'small', 'medical', 'lab', 'shukria', 
'university', 'studies', 'love', 'marriage', 
'uncommon', 'afghanistan', 'parents', 
'wishes', 'money', 'jawad', 'touch', 'pride'","money', 'university', 'maroon'",,,
,,,,,"medical', 'beige', 'money'",,,
,,,,,"wishes', 'touch', 'sweaters'",,,
,,,,,"slender', 'love', 'biochemistry'",,,
,,,,,"head', 'names', 'walls'",,,
,,,,,"jawad', 'shukria', 'marriage'",,,
,,,,,"reserved', 'small', 'studies'",,,
,,,,,"shukria', 'medical', 'university'",,,
,,,,,"couple', 'reserved', 'names'",,,
,,,,,"university', 'pride', 'jawad'",,,
,,,,,,,,
,,2,"The desert road from Nimruz was normally used by the 
poorest Afghans, those who couldn’t afford passports or 
visas to Iran. The smuggler whom Jawad and Shukria had 
paid told me that most of his clients were going there to 
find work — what Western governments label “economic 
migrants.” But when the Taliban captured Kabul and the 
country’s border crossings, there’d been a rush of 
government officials, journalists and civil society activists 
who fled to Nimruz — I was told that a prominent female 
governor had passed through this hotel, in disguise, 
shortly after the collapse — to make the dangerous,
illegal crossing alongside the male laborers.","desert', 'road', 'nimruz', 'poorest', 'afghans', 
'passports', 'visas', 'iran', 'smuggler', 
'jawad', 'shukria', 'clients', 'work', 'western', 
'governments', 'economic', 'migrants', 
'taliban', 'kabul', 'country', 'border', 
'crossings', 'rush', 'government', 'officials', 
'journalists', 'civil', 'society', 'activists', 
'nimruz', 'prominent', 'female', 'governor',
'hotel', 'disguise', 'collapse', 'dangerous',
'illegal', 'crossing', 'male', 'laborers'","poorest', 'smuggler', 'taliban'",,,
,,,,,"nimruz', 'work', 'crossing'",,,
,,,,,"iran', 'rush', 'male'",,,
,,,,,"journalists', 'prominent', 'female'",,,
,,,,,"economic', 'governments', 'male'",,,
,,,,,"work', 'activists', 'jawad'",,,
,,,,,"civil', 'crossings', 'male'",,,
,,,,,"economic', 'country', 'society'",,,
,,,,,"clients', 'hotel', 'rush'",,,
,,,,,"western', 'desert', 'afghans'",,,
,,,,,,,,
,.,3,"When the United States toppled the Taliban in 2001, 
millions of Afghans returned home, in the largest voluntary 
refugee repatriation program in U.N. history. They wanted 
to rebuild their country, and hoped that the West would 
keep its promises of security and development. But as 
violence got worse, Afghans started to doubt those 
promises and leave again, heading overland to Europe, or 
taking boats from Southeast Asia to Australia. And as their 
asylum claims rose, Western countries stepped up efforts 
to keep Afghans out. It became increasingly difficult for 
them to get visas to visit or study abroad, for fear they 
would claim refugee status.","united', 'states', 'taliban', 'millions', 
'afghans', 'largest', 'voluntary', 'refugee', 
'repatriation', 'program', 'u.n', 'history', 
'country', 'west', 'promises', 'security', 
'development', 'violence', 'worse', 'afghans', 
'promises', 'europe', 'boats', 'southeast', 
'asia', 'australia', 'asylum', 'claims', 
'western', 'countries', 'efforts', 'afghans', 
'difficult', 'visas', 'fear', 'refugee', 'status'","refugee', 'australia', 'visas'",,,
,,,,,"claims', 'u.n', 'australia'",,,
,,,,,"southeast', 'program', 'states",,,
,,,,,"west', 'united', 'worse'",,,
,,,,,"development', 'history', 'united'",,,
,,,,,"largest', 'country', 'west'",,,
,,,,,"europe', 'largest', 'millions'",,,
,,,,,"promises', 'refugee', 'western'",,,
,,,,,"united', 'western', 'claims'",,,
,,,,,"asia', 'claims', 'security'",,,
